Pregunta,Respuesta
¿Cuáles son los segmentos poblacionales que se benefician con el puntaje adicional mediante políticas de acción afirmativa en el acceso a la educación superior en Ecuador?,"El artículo 49 del Reglamento del SNNA , establece los criterios que las IES públicas deben aplicar para conceder el puntaje adicional por políticas de acción afirmativa: “ En aplicación de las políticas de acción afirmativa, se otorgarán puntos adicionales a los postulantes, de conformidad a los siguientes criterios: Condición socioeconómica: Quince (15) puntos adicionales a los aspirantes identificados en condición de pobreza, de conformidad con la información entregada por la Unidad de Registro Social. Ruralidad: Cinco (5) puntos adicionales, a las y los aspirantes que estudien o hayan estudiado en instituciones educativas públicas (fiscales, fiscomisionales y municipales) pertenecientes a las zonas rurales, de conformidad con la información reportada por el ente rector del sistema nacional de educación. Territorialidad: Diez (10) puntos adicionales, a las y los aspirantes que residan en una de las parroquias con mayor índice de pobreza, de conformidad con lo determinado por la Unidad de Registro Social. Condiciones de vulnerabilidad: Cinco (5) puntos adicionales, hasta un máximo de treinta y cinco (35) puntos, de conformidad a las siguientes condiciones: Personas con discapacidad con un porcentaje mínimo del 30% debidamente registradas por la Autoridad Sanitaria Nacional – cinco (5 puntos). Personas calificadas como sustitutos de personas con discapacidad y las beneficiarias del Bono Joaquín Gallegos Lara que consten en los registros administrativos del Ministerio de Inclusión Económica y Social – cinco (5 puntos). Víctimas de violencia sexual o de género siempre que se haya realizado la denuncia ante la Fiscalía General del Estado – cinco (5 puntos). Personas ecuatorianas residentes en el exterior o migrantes retornados con la certificación del ente rector en movilidad humana – cinco (5 puntos). Hijas e hijos de las víctimas de femicidio o muerte violenta, esta información será verificada a partir de los datos proporcionados por la autoridad competente – cinco (5 puntos). Personas que adolezcan de enfermedades catastróficas o de alta complejidad, que consten en los registros de la Autoridad Sanitaria Nacional – cinco (5 puntos). Personas que en alguna etapa de su niñez o adolescencia fueron ingresadas en una unidad de atención de acogimiento institucional como medida de protección, emitida por la autoridad competente – cinco (5 puntos). Pueblos y nacionalidades: Diez (10) puntos adicionales a las personas pertenecientes a las comunidades, pueblos y nacionalidades indígenas, afroecuatorianos, montubios, entre otras. La SENESCYT, suscribirá con otras entidades del Estado convenios y acuerdos que permitan el intercambio y la interoperabilidad de la información necesaria para la aplicación de este Reglamento.”"
¿Existen puntajes mínimos de postulación?,"No existen puntajes mínimos de postulación para que le sea asignada una carrera en la educación superior. Este proceso será ejecutado conforme al principio de meritocracia, es decir, que a los mejores puntuados se les asignará la carrera de acuerdo con la disponibilidad de cupos ofertados por la institución, y a la selección de la carrera por el postulante en la etapa de inscripción."
¿En función de qué criterios la UNEMI efectúa la asignación de cupos?,"La UNEMI como institución de Educación Superior Pública basa sus criterios de asignación en cumplimiento a lo establecido en el Artículo 51 del Reglamento del Sistema Nacional de Nivelación y Admisión: “Artículo 51. Asignación de cupos. – La asignación de cupos será un proceso automatizado determinado por las IES públicas, que será realizado en función de los siguientes parámetros y en atención a los principios de mérito e igualdad de oportunidades: Oferta de cupos disponible Puntaje de postulación, desde el puntaje de postulación más alto, al más bajo Elección de carrera. Orden de asignación. El resultado de la asignación de cupos se cargará en la plataforma que la SENESCYT determine para el efecto, a fin de ejecutar la siguiente etapa.” La asignación de cupos en las universidades públicas de Ecuador es un proceso automatizado que prioriza el principio de meritocracia (mejores puntuados), a quienes se les asignará la carrera de acuerdo a la disponibilidad de cupos ofertados por la institución, a la selección de la carrera por el postulante y al orden de asignación, este último criterio se explicará en la siguiente interrogante."
¿Cuál es el orden en el que la UNEMI asigna los cupos para la admisión a la Educación Superior?,"La UNEMI como institución de Educación Superior Pública obedece a un orden de asignación de cupos acorde a lo establecido en el Artículo 52 del Reglamento del Sistema Nacional de Nivelación y Admisión: “Artículo 52. Orden de asignación. – La asignación de cupos considerará el siguiente orden de segmentos: 1) Grupo de política de cuotas: lo conforman los grupos históricamente excluidos o discriminados determinados por las IES públicas y por la SENESCYT para los institutos superiores técnicos, tecnológicos, pedagógicos de artes y conservatorios superiores públicos. Para este grupo se segmentará entre el 5% y 10% de la oferta por carrera, de conformidad a lo determinado en el artículo 31 de este cuerpo normativo. 2) Grupo de mayor vulnerabilidad socioeconómica: Lo conforman los aspirantes en condición de pobreza, de conformidad a la información entregada por la Unidad del Registro Social. Para este grupo se segmentará al menos el 10% de la oferta por carrera. 3) Grupo de Mérito Académico: el mismo estará conformado por el cuadro de honor de las instituciones educativas del último régimen escolar en curso. Para este grupo se segmentará al menos el 20% de la oferta por carrera. 4) Grupo de Otros Reconocimientos al Mérito: en el marco de la autonomía responsable, las IES públicas podrán determinar otros grupos de reconocimiento al mérito de tipo: académico, cultural, deportivo, entre otros, los cuales deberán estar regulados en su normativa interna. De igual manera, deberán justificar el tipo de reconocimiento adicional, a través de un informe técnico que se remitirá a la SENESCYT previo al inicio de la etapa de inscripción de la convocatoria en curso, en el que conste los mecanismos de verificación para la fase de monitoreo. Para este grupo se segmentará un máximo del 2% de la oferta por carrera: 5) Bachilleres del último régimen escolar en curso: los conforman los bachilleres del último régimen escolar de conformidad con la información provista por el MINEDUC: La asignación inicia por aquellos pertenecientes a pueblos y nacionalidades. Para este grupo se segmentará un máximo del 10% de la oferta por carrera. Continuará con los demás bachilleres de la convocatoria en curso. Para este grupo se segmentará al menos el 20% de la oferta por carrera. Los bachilleres participaran en la asignación de este grupo por una sola ocasión. 6) Población general: se encuentra conformado por bachilleres de años anteriores que no pertenecen a los grupos antes descritos, más la población que no se asigne un cupo en su segmento. Para este grupo se segmentará al menos el 20% de la oferta por carrera. La asignación se realizará en instancias, por cada segmento, y en cada grupo siempre se deberá contemplar el principio de meritocracia. Si un postulante cumple con más de un (1) criterio participará inicialmente en el grupo que más le favorezca y de no obtener un cupo asignado en dicho grupo será reasignado para continuar participando en el o los siguientes grupos a los que pertenezca, hasta llegar a población general de ser el caso. Si un postulante registra título de tercer nivel o superior, participará únicamente en el grupo de población general. En caso de que dentro de cada grupo no se cumpla el porcentaje establecido por no tener postulantes que demanden la carrera, los cupos serán liberados y serán incrementados al grupo correspondiente a población general. El orden de asignación detallado será de carácter obligatorio. Los porcentajes establecidos en los segmentos para el orden de asignación serán determinados por las IES públicas, en el marco de su autonomía responsable.” Con base a la normativa expuesta la institución dentro del sistema de asignación de cupos busca equilibrar el mérito académico con la igualdad de oportunidades, considerando acciones afirmativas para grupos específicos y garantizando la transparencia del proceso a través de la automatización de la plataforma monitoreada por la SENESCYT."
"¿Qué puedo hacer si realicé la etapa de Registro Nacional, pero no efectué las siguientes etapas establecidas en el cronograma del proceso de Admisión de la UNEMI?","Si realizó la etapa del Registro Nacional, pero no la etapa de Inscripción espere para aplicar al proceso de Admisión a la Educación Superior del siguiente período, por cuanto, la etapa de Registro Nacional es obligatoria, por ello, deberá consultar la fecha de inicio del nuevo proceso en https://www.registrounicoedusup.gob.ec/ Tenga en cuenta que de acuerdo a la normativa vigente todo proceso de acceso a la Educación Superior Pública da inicio en la plataforma que la Senescyt determina, actualmente el Registro Nacional lo llevan a cabo en el sitio web https://www.registrounicoedusup.gob.ec/ , por consiguiente, la información de las nuevas fechas del proceso de admisión a la Educación Superior pública, se darán a conocer mediante los canales oficiales de la Senescyt."
¿El examen de Competencias y Capacidades tiene algún costo?,"La evaluación de capacidades y competencias no tiene ningún costo. Si realizó las etapas de Registro Nacional (Senescyt) y la de inscripción (UNEMI), sólo se requiere estar atento a la plataforma https://admisiongrado.unemi.edu.ec/ , y rendir la evaluación de acuerdo a las fechas y modalidad publicadas."
¿Qué debo hacer si he aceptado un cupo para el Curso de Nivelación de Carreras en la UNEMI?,"Si usted aceptó un cupo para alguna de las carreras ofertadas por la UNEMI, deberá matricularse en el Curso de Nivelación del mismo período académico de su aceptación, es decir, para el período académico para el cual fue asignado. Sobre fechas de matrícula e inicio de clases deberá estar pendiente de los comunicados oficiales emitidos por la UNEMI en la página web https://www.unemi.edu.ec/ y en sus canales oficiales institucionales mediante claquetas informativas: Facebook, Instagram, X, Youtube y LinkedIn donde nos encontrará como /UNEMIEcuador. En el caso de que la o el postulante acepte un cupo en el periodo académico en curso, no podrá participar en el siguiente proceso de acceso, acorde a lo establecido en el artículo 56 del Reglamento del Sistema Nacional de Nivelación y Admisión vigente."
¿Si acepté un cupo en la UNEMI puedo solicitar que lo anulen?,"El Reglamento del Sistema Nacional de Nivelación y Admisión, establece: “El cupo aceptado en una determinada carrera no podrá ser modificado, ni anulado y tampoco se podrá renunciar al mismo…”. Debido a que la acción de aceptar un cupo es un acto libre y voluntario, el cupo no puede ser anulado, tampoco es factible que la carrera o modalidad que conste en ese cupo sea cambiado por ningún concepto, ni renunciar al cupo."
¿Si rechazo el cupo puedo acudir a la institución para que me reintegren el cupo?,"La respuesta es no, con base en lo establecido en el Reglamento del Sistema Nacional de Nivelación y Admisión, la institución aplica estrategias para lograr una asignación de cupos eficiente, de manera que, si el aspirante Rechaza o no se pronuncia sobre la asignación del cupo otorgado, el sistema implementado automáticamente realizará la asignación de ese cupo a otro aspirante aplicando los principios de mérito e igualdad de oportunidades."
¿Cómo puedo conocer las fechas de matriculación a Nivelación y qué debo hacer para constar como matriculado/a?,"Debe revisar con frecuencia las publicaciones en la página oficial de la UNEMI: https://www.unemi.edu.ec/, y en los canales oficiales de Facebook, Instagram y X : @UNEMIEcuador, con la finalidad de conocer las fechas y requisitos de la matriculación."
¿Quiénes poseen gratuidad en el Curso de Nivelación?,"De acuerdo con lo que contempla el Artículo 54 del Reglamento del Sistema Nacional de Nivelación y Admisión: La gratuidad cubrirá únicamente la primera matrícula del programa de Nivelación de Carreras, no cubre la segunda matrícula. La pérdida del beneficio de gratuidad en nivelación de carrera no afectará la gratuidad del aspirante durante el programa de formación. En los casos de aspirantes a segunda carrera (estudiante o graduado), no contará con el beneficio de gratuidad desde el inicio de la nivelación."
¿Cómo puedo conocer las fechas de matriculación a Nivelación y qué debo hacer para constar como matriculado/a?,"Debe revisar con frecuencia las publicaciones en la página oficial de la UNEMI, y en los canales oficiales de Facebook, Instagram y X (Twitter): @UNEMIEcuador, con la finalidad de conocer las fechas y requisitos de la matriculación."
"Si tengo que cancelar valor de matriculación por segunda carrera o segunda matrícula, ¿Hasta cuándo puedo pagar los valores que adeudo?","De conformidad con lo establecido en el Art. 41 del Reglamento de Admisión y Nivelación de la Universidad Estatal de Milagro: “Los aspirantes que sean de segunda carrera o de segunda matrícula, para ser considerados legalmente matriculados, deberán tener cancelado obligatoriamente el valor de la matrícula hasta una semana antes del inicio del curso o su equivalente, de lo contrario serán eliminados del Sistema de Gestión Académica SGA.”"
"¿Si tengo que cancelar valor de matriculación por Segunda Carrera o Segunda Matrícula, hasta cuándo puedo pagar los valores que adeudo?","De conformidad con lo establecido en el Art. 40 del Reglamento de Admisión y Nivelación de la Universidad Estatal de Milagro: “Los aspirantes que sean de segunda carrera o de segunda matrícula para ser considerados legalmente matriculados, deberán tener cancelado obligatoriamente el valor de la matrícula hasta una semana antes del inicio del curso o su equivalente, de lo contrario serán eliminados del Sistema de Gestión Académica SGA.”"
¿Con qué puntajes apruebo el Curso de Nivelación por Carreras?,"El Reglamento de Admisión y Nivelación de la Universidad Estatal de Milagro, en el Art. 53 establece las escalas de calificaciones, como se muestra a continuación: ESCALA CUANTITATIVA EQUIVALENCIA 96 – 100 Excelente 85 – 95 Muy Bueno 71 – 84 Bueno 70 Aprobado 1 – 69 Reprobado Es decir, que para aprobar el Curso de Nivelación de Carreras deberá obtener un puntaje mínimo de 70 puntos en cada asignatura."
"¿Si apruebo el curso de nivelación, en qué modalidad se desarrollarán las clases a partir del primer semestre o nivel?",La modalidad de la carrera que va a cursar desde el primer hasta el último semestre será la misma en la que obtuvo el cupo en el proceso de admisión a la educación superior pública.
¿Qué es el SGA y cómo ingreso?,"El Sistema de Gestión Académica ( SGA+ ) está disponible para los estudiantes de Nivelación y pregrado de la Universidad Estatal de Milagro de las diferentes modalidades (presencial, semipresencial y en línea) permite revisar información sobre notas, récord académico, horarios, asignaturas, porcentaje de asistencia, finanzas, entre otros datos de su vida estudiantil. Puede acceder al Sistema a través de computadoras o equipos móviles con navegadores web. Para ingresar al SGA se lo realiza a través del siguiente link: https://sgaestudiante.unemi.edu.ec/login , debe estar registrado como estudiante de nivelación y contar con su usuario y contraseña."
¿Cuál es mi usuario y contraseña del SGA para ingresar por primera vez?,"Los usuarios del SGA están compuestos por la primera letra de tu nombre, seguido de tu primer apellido y también la primera letra de tu segundo apellido, por ejemplo: Nombre del estudiante: P AÚL ERNESTO PÉREZ U LLOA El usuario es: pperezu La contraseña estará compuesta por los dígitos de la cédula del usuario, por ejemplo: 1805457659 Importante saber que: Las tildes no están consideradas en ningún nombre de usuario. La letra eñe (ñ) se convierte automáticamente en n. En el caso de existir dos usuarios que coincidan, se diferenciarán en números incrementales adicionados al nombre de usuario, ejemplo: pperez1, pperezu2, y así sucesivamente. En el primer ingreso, el Sistema solicitará el cambio de contraseña por una que solo tu conozcas. Esta nueva clave debe cumplir con una serie de condiciones que se irán coloreando a verde a medida que se vayan cumpliendo."
Olvidé mi usuario y clave del SGA ¿Qué debo hacer?,"En caso de no conocer o haber olvidado sus credenciales de acceso al SGA, debe realizar los siguientes pasos: Ingrese al enlace: https://sga.unemi.edu.ec/loginsga?ret=/. Haga clic en ¿Olvidaste tu contraseña? Ingrese los dígitos de la cédula y presione “buscar” En caso de encontrarse registrado, mostrará un mensaje de confirmación. Presione el botón “Restablecer contraseña”, se enviará un enlace a su correo electrónico registrado. Ingresar a su correo INSTITUCIONAL o PERSONAL registrado en el SGA; allí encontrará un enlace para reestablecer la contraseña. Presione el enlace e ingrese la nueva clave."
¿Cómo cambio mi clave del SGA?,Ingrese al SGA con su usuario y clave. En el menú del PERFIL que se encuentra en el lado derecho superior; haga clic en Cambiar contraseña. Ingrese la contraseña anterior. Ingrese la nueva contraseña. Confirme la nueva contraseña. Para almacenar los cambios presione el botón “Guardar”.
¿Qué debo hacer para obtener un certificado de matrícula o de calificaciones en el SGA?,"Deberá solicitarlo mediante el módulo del SGA: Servicios de Secretaría, obligatoriamente deberá utilizar este medio el que está dividido en tres (3) secciones: Solicitudes de Certificaciones de Nivelación Externas: Certificado de no estar matriculado en el Curso de Nivelación. Solicitudes de Certificaciones de Nivelación Internas: Certificado de matrícula, Certificado de no adeudar (valores), Certificado de asistencia, certificado de carreras estudiadas en la nivelación, certificado de número de matrículas por carrera, certificados de segundas matrículas por carreras, certificados de horarios de clases por materias. Solicitudes de Certificaciones de Nivelación Personalizadas: Certificado de notas de la Nivelación con el estado académico en cada una de las asignaturas cursadas."
¿Qué es el aula virtual y cómo ingreso?,"El Aula de Nivelación de la Universidad Estatal de Milagro (UNEMI) es un espacio virtual diseñado para brindar a los estudiantes los recursos y herramientas necesarias para fortalecer sus conocimientos. Para acceder al aula virtual, el estudiante deberá ingresar con las mismas credenciales del Sistema de Gestión Académica (SGA). El usuario registrado tiene acceso al aula virtual y podrá acceder al contenido y material didáctico de sus asignaturas del presente período académico, tales como videos, lecturas, diapositivas, enlaces, etc. Para ingresar al aula virtual, debe hacerlo a través del enlace web: https://aulanivelacion.unemi.edu.ec/"
¿A qué medios puedo contactar para consultas académicas relacionadas con los procesos de Admisión y Nivelación?,"En caso de requerir atención personalizada, actualmente la UNEMI mantiene habilitada las siguientes líneas de atención al usuario: Balcón de Servicios Para estudiantes de UNEMI el acceso para atención al usuario es mediante el Sistema de Gestión Académica SGA – Balcón de Servicios. Para ciudadanos externos y que no tienen credenciales del SGA deben acceder al Balcón de servicio utilizando el siguiente enlace https://sga.unemi.edu.ec/alu_solicitudbalconexterno , en el cual deberá llenar un registro. Presencial Edificio CRAI, planta baja, en horario de 08h00 a 17h00"
"¿Dónde puedo consultar información académica sobre las carreras que oferta la UNEMI, en la modalidad presencial, semipresencial y en línea?","La información referente a las carreras que oferta la UNEMI la encontrará en la página web oficial de la UNEMI https://www.unemi.edu.ec/ , o ingresando a los siguientes links: Modalidad presencial: https://www.unemi.edu.ec/index.php/carreras-presencial/ Modalidad semipresencial: https://www.unemi.edu.ec/index.php/carreras-semipresencial/ Modalidad en línea: https://www.unemi.edu.ec/index.php/carreras-en-linea/"
¿Qué proceso debo realizar si pertenezco a otra universidad y deseo estudiar en la UNEMI?,"Los ciudadanos que son de otras universidades públicas o privadas, deberán contactarse con el Departamento de Gestión y Servicios Académicos, mediante el balcón de servicios externo: https://sga.unemi.edu.ec/alu_solicitudbalconexterno , y exponer detalladamente su requerimiento y situación académica"
¿Qué normativa debo cumplir para acceder a un cambio de Carrera o de IES en la UNEMI?,"El Reglamento de Régimen Académico vigente emitido por el CES, establece “ Artículo 79 .- Cambio de carrera y cambio de institución de educación superior .- Los cambios de carrera están sujetos a los procesos de admisión establecidos por cada institución de educación superior, observando la normativa vigente del Sistema de Educación Superior. El cambio de carrera podrá realizarse en la misma o diferente institución de educación superior, según las siguientes reglas: Cambio de carrera dentro de una misma IES pública: procede cuando se ha cursado al menos un periodo académico, de acuerdo a los mecanismos establecidos por la IES. Para efectos de gratuidad se podrá realizar el cambio por una sola vez. Si el estudiante se retira antes de aprobar el primer periodo académico establecido en la carrera, deberá iniciar el proceso de admisión establecido en el sistema de educación superior. Esta regla no aplica para el caso de reingresos. En todos estos casos, la IES deberá observar que el aspirante cumpla con el puntaje mínimo de admisión de cohorte de la carrera receptora en el periodo académico correspondiente en el cual solicita su movilidad. Cambio de IES pública: Un estudiante podrá cambiarse entre IES públicas, sea a la misma carrera o a una distinta, una vez que haya cursado al menos dos (2) períodos académicos, según los mecanismos establecidos por la IES. Para efectos de gratuidad se podrá realizar el cambio por una sola vez. En todos estos casos, la IES deberá observar que el aspirante cumpla con el puntaje mínimo de admisión de cohorte de la carrera receptora en el periodo académico correspondiente en el cual solicita su movilidad. Cambio de IES particular a IES pública: Un estudiante podrá cambiarse de una IES particular a una IES pública, siempre que el estudiante haya cursado al menos dos (2) períodos académicos; sea sometido al proceso de asignación de cupos; y, obtenga el puntaje de cohorte de la carrera receptora en el periodo académico correspondiente en el cual solicita su movilidad. En todos estos casos la institución de educación superior deberá observar que el aspirante cumpla con el puntaje mínimo de admisión de cohorte de la carrera receptora en el periodo académico correspondiente en el cual solicita su movilidad. Cambio de IES particulares: Cuando un estudiante se cambia de cualquier IES a una IES particular, deberá someterse a los procesos de admisión establecidos por la IES receptora. Las IES definirán los mecanismos para los cambios de carrera. Para el caso de los programas, las IES definirán las condiciones en las que se aplican la movilidad.” En casos de requerimientos de cambios de modalidad, también podrá aplicar al proceso de cambio de carrera, por cuanto, algunas mallas de las carreras de modalidad presencial son distintas a las de modalidad en línea."
¿Cómo puedo obtener los requisitos para realizar el proceso de Cambio de Carrera y/o Universidad?,Los requisitos se encuentran publicados en la web oficial institucional https://www.unemi.edu.ec/index.php/admision/requisitos-para-cambio-de-carrera-o-ies/ .
¿Cuáles son los requisitos para aplicar al proceso de Homologación de asignaturas?,Para conocer los requisitos deberá ingresar a: https://www.unemi.edu.ec/index.php/admision/requisitos-para-el-proceso-de-reingreso-reconocimiento-u-homologacion-de-estudios-de-tercer-nivel/
¿Cómo realizo el proceso de cambio de homologación de estudios de tercer nivel?,"El proceso de homologación se puede realizar siempre y cuando sea estudiante de UNEMI en grado o cuando realice un proceso de cambio de carrera/IES, para ello deberá subir la documentación en el módulo de homologación de SGA. https://sga.unemi.edu.ec/ o escoger “si” al momento de estar ejecutando un cambio de carrera."
¿Dónde se puede revisar el cronograma para aplicar a los procesos de cambio de carrera/ IES y el de homologación de asignaturas?,"Deberá estar atento a las publicaciones en los canales oficiales de la Institución donde se indicarán las fechas de recepción de requisitos para aplicar a los procesos de cambio de carrera/IES, y el de Homologación de asignaturas: Página Institucional de la UNEMI: https://www.unemi.edu.ec/index.php/admision/ Canales oficiales: Facebook, Instagram, X, Youtube y LinkedIn donde nos encontrará como /UNEMIEcuador."
